Entry	Gene Names	Protein names	Subcellular location [CC]
O15244	SLC22A2 OCT2	Solute carrier family 22 member 2 (Organic cation transporter 2) (hOCT2)	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000250|UniProtKB:Q9R0W2}; Multi-pass membrane protein {ECO:0000305}. Basal cell membrane {ECO:0000269|PubMed:35307651}; Multi-pass membrane protein {ECO:0000305}. Apical cell membrane {ECO:0000269|PubMed:15817714, ECO:0000269|PubMed:9260930}; Multi-pass membrane protein {ECO:0000305}. Note=Localized to the basal membrane of Sertoli cells (PubMed:35307651). Localized to the basolateral membrane of proximal tubule (PubMed:11912245). Localized to the luminal/apical membrane of distal tubule (PubMed:9260930). Localized to the luminal/apical membrane of ciliated epithelial cells in bronchi (PubMed:15817714). {ECO:0000269|PubMed:11912245, ECO:0000269|PubMed:15817714, ECO:0000269|PubMed:35307651, ECO:0000269|PubMed:9260930}.
O43194	GPR39	G-protein coupled receptor 39	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26365466}; Multi-pass membrane protein.
O43280	TREH TREA	Trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P19813}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:P19813}.
O43699	SIGLEC6 CD33L CD33L1 OBBP1	Sialic acid-binding Ig-like lectin 6 (Siglec-6) (CD33 antigen-like 1) (CDw327) (Obesity-binding protein 1) (OB-BP1) (CD antigen CD327)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.
O43921	EFNA2 EPLG6 LERK6	Ephrin-A2 (EPH-related receptor tyrosine kinase ligand 6) (LERK-6) (HEK7 ligand) (HEK7-L)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.
O60242	ADGRB3 BAI3 KIAA0550	Adhesion G protein-coupled receptor B3 (Brain-specific angiogenesis inhibitor 3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21262840, ECO:0000269|PubMed:22333914}; Multi-pass membrane protein {ECO:0000255}.
O60503	ADCY9 KIAA0520	Adenylate cyclase type 9 (EC 4.6.1.1) (ATP pyrophosphate-lyase 9) (Adenylate cyclase type IX) (ACIX) (Adenylyl cyclase 9) (AC9)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10987815, ECO:0000269|PubMed:9628827}; Multi-pass membrane protein {ECO:0000305}.
O60721	SLC24A1 KIAA0702 NCKX1	Sodium/potassium/calcium exchanger 1 (Na(+)/K(+)/Ca(2+)-exchange protein 1) (Retinal rod Na-Ca+K exchanger) (Solute carrier family 24 member 1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26631410}; Multi-pass membrane protein {ECO:0000255}.
O75955	FLOT1	Flotillin-1	SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein {ECO:0000269|PubMed:20682791}. Endosome {ECO:0000269|PubMed:20682791}. Membrane, caveola {ECO:0000250|UniProtKB:O08917}; Peripheral membrane protein {ECO:0000250|UniProtKB:O08917}. Melanosome {ECO:0000269|PubMed:17081065}. Membrane raft {ECO:0000269|PubMed:25893292}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). Membrane-associated protein of caveola (By similarity). {ECO:0000250|UniProtKB:O08917, ECO:0000269|PubMed:17081065}.
O76090	BEST1 VMD2	Bestrophin-1 (TU15B) (Vitelliform macular dystrophy protein 2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26200502}; Multi-pass membrane protein {ECO:0000269|PubMed:17110374, ECO:0000269|PubMed:35789156}. Basolateral cell membrane {ECO:0000269|PubMed:19853238, ECO:0000269|PubMed:21330666, ECO:0000269|PubMed:26200502}; Multi-pass membrane protein {ECO:0000269|PubMed:17110374, ECO:0000269|PubMed:35789156}. Note=Localized at the surface membrane of microdomains adjacent to glutamatergic synapses. {ECO:0000250|UniProtKB:O88870}.
O94779	CNTN5	Contactin-5 (Neural recognition molecule NB-2) (hNB-2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}.
O94911	ABCA8 KIAA0822	ABC-type organic anion transporter ABCA8 (EC 7.6.2.-) (ATP-binding cassette sub-family A member 8)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28882873, ECO:0000269|PubMed:29300488}; Multi-pass membrane protein {ECO:0000305}. Basolateral cell membrane {ECO:0000250|UniProtKB:Q8K440}. Note=Predominantly expressed on the sinusoidal plasma membrane. {ECO:0000250|UniProtKB:Q8K440}.
O94956	SLCO2B1 KIAA0880 OATP2B1 OATPB SLC21A9	Solute carrier organic anion transporter family member 2B1 (Organic anion transporter B) (OATP-B) (Organic anion transporter polypeptide-related protein 2) (OATP-RP2) (OATPRP2) (Organic anion transporting polypeptide 2B1) (OATP2B1) (Solute carrier family 21 member 9)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:25132355}; Multi-pass membrane protein {ECO:0000305}. Basal cell membrane {ECO:0000269|PubMed:11159893, ECO:0000269|PubMed:11932330, ECO:0000269|PubMed:12409283, ECO:0000269|PubMed:35307651}; Multi-pass membrane protein {ECO:0000305}. Basolateral cell membrane {ECO:0000269|PubMed:28408210}; Multi-pass membrane protein {ECO:0000305}. Apical cell membrane {ECO:0000269|PubMed:12724351, ECO:0000269|PubMed:28408210}; Multi-pass membrane protein {ECO:0000305}. Note=Expressed at the basal membrane of hepatocytes, syncytiotrophoblast and Sertoli cells (PubMed:11159893, PubMed:11932330, PubMed:12409283, PubMed:35307651). Localized to the basolateral membrane of enterocytes (PubMed:28408210). Also found at the apical membrane of enterocytes (PubMed:12724351, PubMed:28408210). {ECO:0000269|PubMed:11159893, ECO:0000269|PubMed:11932330, ECO:0000269|PubMed:12409283, ECO:0000269|PubMed:12724351, ECO:0000269|PubMed:28408210, ECO:0000269|PubMed:35307651}.
O95136	S1PR2 EDG5	Sphingosine 1-phosphate receptor 2 (S1P receptor 2) (S1P2) (Endothelial differentiation G-protein coupled receptor 5) (Sphingosine 1-phosphate receptor Edg-5) (S1P receptor Edg-5)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:25274307}; Multi-pass membrane protein {ECO:0000255}.
O95185	UNC5C UNC5H3	Netrin receptor UNC5C (Protein unc-5 homolog 3) (Protein unc-5 homolog C)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:25419706}; Single-pass type I membrane protein {ECO:0000255}. Cell surface {ECO:0000269|PubMed:25419706}. Synapse, synaptosome {ECO:0000250|UniProtKB:Q761X5}. Cell projection, axon {ECO:0000250|UniProtKB:O08747}. Cell projection, dendrite {ECO:0000250|UniProtKB:O08747}. Cell projection, growth cone {ECO:0000250|UniProtKB:O08747}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:O08747}. Cell projection, filopodium {ECO:0000250|UniProtKB:O08747}.
O95206	PCDH8	Protocadherin-8 (Arcadlin)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Presynaptic cell membrane. Postsynaptic cell membrane. Note=Also expressed in neuronal cell bodies. Localized to excitatory, but not with inhibitory, synapses. {ECO:0000250}.
O95377	GJB5	Gap junction beta-5 protein (Connexin-31.1) (Cx31.1)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell junction, gap junction.
O95452	GJB6	Gap junction beta-6 protein (Connexin-30) (Cx30)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell junction, gap junction.
O95484	CLDN9	Claudin-9	SUBCELLULAR LOCATION: Cell junction, tight junction. Cell membrane {ECO:0000269|PubMed:20375010, ECO:0000269|PubMed:31175426}; Multi-pass membrane protein {ECO:0000255}.
O95500	CLDN14 UNQ777/PRO1571	Claudin-14	SUBCELLULAR LOCATION: Cell junction, tight junction. Cell membrane; Multi-pass membrane protein.
P01375	TNF TNFA TNFSF2	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16829952}; Single-pass type II membrane protein {ECO:0000269|PubMed:16829952}.; SUBCELLULAR LOCATION: [Tumor necrosis factor, membrane form]: Membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: [Tumor necrosis factor, soluble form]: Secreted {ECO:0000269|PubMed:23552949}.; SUBCELLULAR LOCATION: [C-domain 1]: Secreted.; SUBCELLULAR LOCATION: [C-domain 2]: Secreted.
P01768	IGHV3-30	Immunoglobulin heavy variable 3-30 (Ig heavy chain V-III region BUR) (Ig heavy chain V-III region CAM) (Ig heavy chain V-III region GA) (Ig heavy chain V-III region NIE)	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
P01857	IGHG1	Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE)	SUBCELLULAR LOCATION: [Isoform 1]: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}; Single-pass membrane protein {ECO:0000255}.
P01861	IGHG4	Immunoglobulin heavy constant gamma 4 (Ig gamma-4 chain C region)	SUBCELLULAR LOCATION: [Isoform 1]: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}; Single-pass membrane protein {ECO:0000255}.
P04001	OPN1MW GCP	Medium-wave-sensitive opsin 1 (Green cone photoreceptor pigment) (Green-sensitive opsin) (GOP)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20579627}; Multi-pass membrane protein {ECO:0000255}.
P04216	THY1	Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}.
P04921	GYPC GLPC GPC	Glycophorin-C (Glycoconnectin) (Glycophorin-D) (GPD) (Glycoprotein beta) (PAS-2') (Sialoglycoprotein D) (CD antigen CD236)	SUBCELLULAR LOCATION: Cell membrane; Single-pass type III membrane protein. Note=Linked to the membrane via band 4.1.
P05026	ATP1B1 ATP1B	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:34011520}; Single-pass type II membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000250|UniProtKB:P07340}; Single-pass type II membrane protein {ECO:0000255}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P14094}. Note=Colocalizes with OBSCN at the intercalated disk and sarcolemma in cardiomyocytes. Localizes in long striations at the level of Z and M lines. {ECO:0000250|UniProtKB:P14094}.
P05107	ITGB2 CD18 MFI7	Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21193407, ECO:0000269|PubMed:28807980}; Single-pass type I membrane protein {ECO:0000305}. Membrane raft {ECO:0000269|PubMed:21193407}; Single-pass type I membrane protein {ECO:0000305}.
P06127	CD5 LEU1	T-cell surface glycoprotein CD5 (Lymphocyte antigen T1/Leu-1) (CD antigen CD5)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P13379}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P13379}.
P07766	CD3E T3E	T-cell surface glycoprotein CD3 epsilon chain (T-cell surface antigen T3/Leu-4 epsilon chain) (CD antigen CD3e)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10384095, ECO:0000269|PubMed:15294938}; Single-pass type I membrane protein {ECO:0000305}.
P08034	GJB1 CX32	Gap junction beta-1 protein (Connexin-32) (Cx32) (GAP junction 28 kDa liver protein)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell junction, gap junction.
P08069	IGF1R	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17524361}; Single-pass type I membrane protein {ECO:0000269|PubMed:17524361}.
P09923	ALPI	Intestinal-type alkaline phosphatase (IAP) (Intestinal alkaline phosphatase) (EC 3.1.3.1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P15693}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:P15693}.
P0CG37	CFC1	Cryptic protein (Cryptic family protein 1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18930707}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:18930707}. Secreted {ECO:0000269|PubMed:18930707}. Note=Does not exhibit a typical GPI-signal sequence. The C-ter hydrophilic extension of the GPI-signal sequence reduces the efficiency of processing and could lead to the production of an secreted unprocessed form. This extension is found only in primates.
P0DTU4	TRB	T cell receptor beta chain MC.7.G5 (TR beta chain TRBV25-1*01J2S3*01C2*01) (MC.7.G5 TRB)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:31959982}.
P11166	SLC2A1 GLUT1	Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18245775, ECO:0000269|PubMed:19449892, ECO:0000269|PubMed:23219802, ECO:0000269|PubMed:24847886, ECO:0000269|PubMed:25982116, ECO:0000269|PubMed:30197081}; Multi-pass membrane protein {ECO:0000255}. Melanosome {ECO:0000269|PubMed:17081065}. Photoreceptor inner segment {ECO:0000250|UniProtKB:P17809}. Note=Localizes primarily at the cell surface (PubMed:18245775, PubMed:19449892, PubMed:23219802, PubMed:24847886, PubMed:25982116). Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). {ECO:0000269|PubMed:17081065, ECO:0000269|PubMed:18245775, ECO:0000269|PubMed:19449892, ECO:0000269|PubMed:23219802, ECO:0000269|PubMed:24847886, ECO:0000269|PubMed:25982116}.
P11168	SLC2A2 GLUT2	Solute carrier family 2, facilitated glucose transporter member 2 (Glucose transporter type 2, liver) (GLUT-2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28083649}; Multi-pass membrane protein {ECO:0000255}.
P11169	SLC2A3 GLUT3	Solute carrier family 2, facilitated glucose transporter member 3 (Glucose transporter type 3, brain) (GLUT-3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:9477959, ECO:0000305|PubMed:26176916}; Multi-pass membrane protein {ECO:0000269|PubMed:26176916}. Perikaryon {ECO:0000250|UniProtKB:Q07647}. Cell projection {ECO:0000250|UniProtKB:Q07647}. Note=Localized to densely spaced patches along neuronal processes. {ECO:0000250|UniProtKB:Q07647}.
P11229	CHRM1	Muscarinic acetylcholine receptor M1	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Postsynaptic cell membrane; Multi-pass membrane protein.
P11230	CHRNB1 ACHRB CHRNB	Acetylcholine receptor subunit beta	SUBCELLULAR LOCATION: Postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
P13945	ADRB3 ADRB3R B3AR	Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P13987	CD59 MIC11 MIN1 MIN2 MIN3 MSK21	CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59)	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor. Secreted. Note=Soluble form found in a number of tissues.
P14151	SELL LNHR LYAM1	L-selectin (CD62 antigen-like family member L) (Leukocyte adhesion molecule 1) (LAM-1) (Leukocyte surface antigen Leu-8) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (Lymph node homing receptor) (TQ1) (gp90-MEL) (CD antigen CD62L)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:2509939, ECO:0000269|PubMed:2663882, ECO:0000269|PubMed:28011641}; Single-pass type I membrane protein {ECO:0000305|PubMed:2663882}.
P15509	CSF2RA CSF2R CSF2RY	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (GM-CSF-R-alpha) (GMCSFR-alpha) (GMR-alpha) (CDw116) (CD antigen CD116)	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted {ECO:0000305}.
P16144	ITGB4	Integrin beta-4 (GP150) (CD antigen CD104)	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Cell membrane; Lipid-anchor. Cell junction, hemidesmosome. Note=Colocalizes with DST at the leading edge of migrating keratinocytes.
P17658	KCNA6	Potassium voltage-gated channel subfamily A member 6 (Voltage-gated potassium channel HBK2) (Voltage-gated potassium channel subunit Kv1.6)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14575698, ECO:0000269|PubMed:2347305}; Multi-pass membrane protein {ECO:0000305}.
P18505	GABRB1	Gamma-aminobutyric acid receptor subunit beta-1 (GABA(A) receptor subunit beta-1) (GABAAR subunit beta-1)	SUBCELLULAR LOCATION: Postsynaptic cell membrane {ECO:0000250|UniProtKB:P08220}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P08220}. Cell membrane {ECO:0000269|PubMed:26950270}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P08220}.
P18825	ADRA2C ADRA2L2 ADRA2RL2	Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P19440	GGT1 GGT	Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23682772, ECO:0000269|PubMed:8095045}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:P07314}.
P20273	CD22 SIGLEC2	B-cell receptor CD22 (B-lymphocyte cell adhesion molecule) (BL-CAM) (Sialic acid-binding Ig-like lectin 2) (Siglec-2) (T-cell surface antigen Leu-14) (CD antigen CD22)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20172905}; Single-pass type I membrane protein.
P21453	S1PR1 CHEDG1 EDG1	Sphingosine 1-phosphate receptor 1 (S1P receptor 1) (S1P1) (Endothelial differentiation G-protein coupled receptor 1) (Sphingosine 1-phosphate receptor Edg-1) (S1P receptor Edg-1) (CD antigen CD363)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:29185452}; Multi-pass membrane protein. Endosome. Membrane raft. Note=Recruited to caveolin-enriched plasma membrane microdomains in response to oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphocholine. Ligand binding leads to receptor internalization.
P21918	DRD5 DRD1B DRD1L2	D(1B) dopamine receptor (D(5) dopamine receptor) (D1beta dopamine receptor) (Dopamine D5 receptor)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P22459	KCNA4 KCNA4L	Potassium voltage-gated channel subfamily A member 4 (HPCN2) (Voltage-gated K(+) channel HuKII) (Voltage-gated potassium channel HBK4) (Voltage-gated potassium channel HK1) (Voltage-gated potassium channel subunit Kv1.4)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17156368, ECO:0000269|PubMed:19912772, ECO:0000269|PubMed:19968958, ECO:0000269|PubMed:8495559}; Multi-pass membrane protein {ECO:0000255}. Cell projection, axon {ECO:0000250|UniProtKB:P15385}.
P22748	CA4	Carbonic anhydrase 4 (EC 4.2.1.1) (Carbonate dehydratase IV) (Carbonic anhydrase IV) (CA-IV)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15563508}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:7625839}.
P23435	CBLN1	Cerebellin-1 (Precerebellin) [Cleaved into: Cerebellin (CER); [des-Ser1]-cerebellin]	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q9R171}. Postsynaptic cell membrane {ECO:0000250|UniProtKB:Q9R171}.
P23634	ATP2B4 ATP2B2 MXRA1	Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:2137451}; Multi-pass membrane protein {ECO:0000255}. Cell projection, cilium, flagellum membrane {ECO:0000250|UniProtKB:Q6Q477}; Multi-pass membrane protein {ECO:0000255}.
P24046	GABRR1	Gamma-aminobutyric acid receptor subunit rho-1 (GABA(A) receptor subunit rho-1) (GABAAR subunit rho-1) (GABA(C) receptor)	SUBCELLULAR LOCATION: Postsynaptic cell membrane {ECO:0000250|UniProtKB:P56475}; Multi-pass membrane protein {ECO:0000269|PubMed:37659407}. Cell membrane {ECO:0000269|PubMed:37659407}; Multi-pass membrane protein {ECO:0000269|PubMed:37659407}.
P24530	EDNRB ETRB	Endothelin receptor type B (ET-B) (ET-BR) (Endothelin receptor non-selective type)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28236341}; Multi-pass membrane protein. Note=internalized after activation by endothelins. {ECO:0000269|PubMed:28236341}.
P26010	ITGB7	Integrin beta-7 (Gut homing receptor beta subunit)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000255}.
P26717	KLRC2 NKG2C	NKG2-C type II integral membrane protein (CD159 antigen-like family member C) (NK cell receptor C) (NKG2-C-activating NK receptor) (CD antigen CD159c)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20952657, ECO:0000269|PubMed:21825173}; Single-pass type II membrane protein {ECO:0000255}.
P28336	NMBR	Neuromedin-B receptor (NMB-R) (Epididymis tissue protein Li 185a) (Neuromedin-B-preferring bombesin receptor)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
P29274	ADORA2A ADORA2	Adenosine receptor A2a	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P30543}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P30543}. Note=Colocalizes with GAS2L2 at neuronal processes. {ECO:0000250|UniProtKB:P30543}.
P29320	EPHA3 ETK ETK1 HEK TYRO4	Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:11870224}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:21135139}.
P29972	AQP1 CHIP28	Aquaporin-1 (AQP-1) (Aquaporin-CHIP) (Channel-like integral membrane protein of 28 kDa) (Urine water channel)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23219802}; Multi-pass membrane protein {ECO:0000269|PubMed:7507481}.
P30273	FCER1G	High affinity immunoglobulin epsilon receptor subunit gamma (Fc receptor gamma-chain) (FcRgamma) (Fc-epsilon RI-gamma) (IgE Fc receptor subunit gamma) (FceRI gamma)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8611682}; Single-pass type I membrane protein {ECO:0000269|PubMed:8611682}.
P30530	AXL UFO	Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28076778, ECO:0000269|PubMed:29379210, ECO:0000269|PubMed:7896447}; Single-pass type I membrane protein {ECO:0000269|PubMed:7896447}.
P30872	SSTR1	Somatostatin receptor type 1 (SS-1-R) (SS1-R) (SS1R) (SST1) (SRIF-2)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P30989	NTSR1 NTRR	Neurotensin receptor type 1 (NT-R-1) (NTR1) (High-affinity levocabastine-insensitive neurotensin receptor) (NTRH)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8381365}; Multi-pass membrane protein {ECO:0000305}. Membrane raft {ECO:0000269|PubMed:21725197}. Note=Palmitoylation is required for localization at CAV1-enriched membrane rafts. {ECO:0000269|PubMed:21725197}.
P31639	SLC5A2 SGLT2	Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000305|PubMed:34880493, ECO:0000305|PubMed:37217492, ECO:0000305|PubMed:38057552}; Multi-pass membrane protein {ECO:0000269|PubMed:34880493, ECO:0000269|PubMed:37217492, ECO:0000269|PubMed:38057552}.
P32248	CCR7 CMKBR7 EBI1 EVI1	C-C chemokine receptor type 7 (C-C CKR-7) (CC-CKR-7) (CCR-7) (BLR2) (CDw197) (Epstein-Barr virus-induced G-protein coupled receptor 1) (EBI1) (EBV-induced G-protein coupled receptor 1) (MIP-3 beta receptor) (CD antigen CD197)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P32418	SLC8A1 CNC NCX1	Sodium/calcium exchanger 1 (Na(+)/Ca(2+)-exchange protein 1) (Solute carrier family 8 member 1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11241183, ECO:0000269|PubMed:1374913, ECO:0000269|PubMed:1476165}; Multi-pass membrane protein {ECO:0000269|PubMed:23376057}.
